modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib/Deep,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,0.0016335282,0.078318164,0.0071592033,0.077918865,222,217,50174,50139,45091,15088
models-eegLib/Deep,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,0.0,0.0,0.0,0.0,223,1,50141,50139,45149,15030
models-eegLib/Deep,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep-2000ep.h5,False,0.18385650224215247,41,182,181,0,1,0,0.05074705,0.0,0.05074705,0.0,223,80,50150,50117,45147,15062
models-eegLib/Deep,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep-2000ep.h5,False,0.28699551569506726,64,159,6,28,125,0,0.17436957,0.35858613,0.38583443,0.0,223,217,50111,50115,45035,15030
models-eegLib/Deep,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep-2000ep.h5,False,0.3333333333333333,74,148,0,0,148,0,0.0,0.0,0.0,0.0,222,1,50138,50031,45084,15040
models-eegLib/Deep,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep-2000ep.h5,False,0.18468468468468469,41,181,176,0,0,5,0.16216226,0.0,0.0,0.16216226,222,2,50160,50140,45098,15030
models-eegLib/Deep,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep-2000ep.h5,False,0.17488789237668162,39,184,162,21,0,1,0.3037461,0.29780284,0.0,0.066814624,223,170,50086,50114,45048,15027
models-eegLib/Deep,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep-2000ep-2000ep.h5,False,0.11160714285714286,25,199,0,0,0,199,0.0,0.0,0.0,0.0,224,1,50140,50150,45208,15030
models-eegLib/Deep,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep-2000ep-2000ep.h5,False,0.12556053811659193,28,195,0,1,0,194,0.06681458,0.094272904,0.0668145,0.13272001,223,8,50077,50143,45042,15031
models-eegLib/Deep,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep-2000ep-2000ep.h5,False,0.36160714285714285,81,143,7,136,0,0,0.18557693,0.18557692,0.0,0.0,224,2,50149,50129,45137,15029
models-eegLib/Deep,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep-2000ep.h5,False,0.336322869955157,75,148,0,0,148,0,0.0029675325,0.009545143,0.04872259,0.036228903,223,219,50091,50144,45121,15031
models-eegLib/Deep,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep-2000ep.h5,False,0.36486486486486486,81,141,0,136,0,5,0.0,0.16216229,0.0,0.16216229,222,2,50125,50154,45095,15030
models-eegLib/Deep,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep-2000ep.h5,False,0.32882882882882886,73,149,5,0,144,0,0.16216229,0.0,0.16216229,0.0,222,2,50024,50136,45087,15030
models-eegLib/Shallow,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep.h5,False,0.3333333333333333,74,148,0,0,148,0,0.0007520658,0.028301533,0.058239877,0.057099346,222,222,50174,50139,45091,15088
models-eegLib/Shallow,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,3.664161e-05,9.507942e-15,3.663847e-05,4.8521245e-16,223,170,50141,50139,45149,15030
models-eegLib/Shallow,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,1.204107e-06,2.8197375e-10,4.296088e-07,3.0471744e-18,223,222,50150,50117,45147,15062
models-eegLib/Shallow,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep.h5,False,0.36771300448430494,82,141,0,141,0,0,2.701213e-05,4.4661145e-05,6.583225e-14,2.1088179e-05,223,215,50111,50115,45035,15030
models-eegLib/Shallow,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep.h5,False,0.32882882882882886,73,149,36,108,0,5,0.048383705,0.06242713,0.045822173,0.042975858,222,101,50138,50031,45084,15040
models-eegLib/Shallow,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep.h5,False,0.18468468468468469,41,181,181,0,0,0,0.00013593337,5.7543916e-06,9.5757405e-06,0.00013096047,222,192,50160,50140,45098,15030
models-eegLib/Shallow,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep.h5,False,0.36771300448430494,82,141,0,141,0,0,8.080334e-09,0.008044967,1.5427315e-05,0.00804329,223,91,50086,50114,45048,15027
models-eegLib/Shallow,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep-2000ep.h5,False,0.18303571428571427,41,183,183,0,0,0,1.5559104e-06,2.638649e-13,0.0,3.7221564e-08,224,5,50140,50150,45208,15030
models-eegLib/Shallow,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep-2000ep.h5,False,0.36771300448430494,82,141,0,141,0,0,3.4857795e-21,0.0,6.6325123e-10,1.7512475e-20,223,155,50077,50143,45042,15031
models-eegLib/Shallow,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep-2000ep.h5,False,0.3392857142857143,76,148,0,0,148,0,0.0030653789,1.5740295e-12,0.003065383,1.8762497e-08,224,218,50149,50129,45137,15029
models-eegLib/Shallow,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep.h5,False,0.336322869955157,75,148,0,0,148,0,0.0044625984,0.005447169,0.030601166,0.020947477,223,223,50091,50144,45121,15031
models-eegLib/Shallow,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep.h5,False,0.18468468468468469,41,181,180,0,0,1,0.09340247,3.4727382e-14,1.084682e-06,0.09340303,222,110,50125,50154,45095,15030
models-eegLib/Shallow,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,1.1868736e-06,1.2508663e-06,6.4888494e-16,2.6165688e-08,222,221,50024,50136,45087,15030
models-eegLib/EEGNet,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep.h5,False,0.3333333333333333,74,148,0,0,148,0,0.0242485,0.027502786,0.09204312,0.040296324,222,217,50174,50139,45091,15088
models-eegLib/EEGNet,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep.h5,False,0.336322869955157,75,148,0,0,148,0,0.0,0.0,0.0,0.0,223,1,50141,50139,45149,15030
models-eegLib/EEGNet,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep.h5,False,0.30493273542600896,68,155,139,0,16,0,0.37927768,0.0,0.37927774,0.0,223,131,50150,50117,45147,15062
models-eegLib/EEGNet,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep.h5,False,0.1210762331838565,27,196,3,1,1,191,0.123039134,0.06681455,0.11724372,0.18597709,223,25,50111,50115,45035,15030
models-eegLib/EEGNet,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep.h5,False,0.34234234234234234,76,146,0,1,144,1,0.0,0.10677192,0.14837508,0.08049339,222,7,50138,50031,45084,15040
models-eegLib/EEGNet,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep.h5,False,0.32882882882882886,73,149,0,0,147,2,0.0,0.0,0.11545956,0.11545956,222,7,50160,50140,45098,15030
models-eegLib/EEGNet,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep.h5,False,0.3273542600896861,73,150,6,0,144,0,0.17436957,0.0,0.17436957,0.0,223,8,50086,50114,45048,15027
models-eegLib/EEGNet,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep.h5,False,0.33035714285714285,74,150,0,6,144,0,0.0,0.18557693,0.18557692,0.0,224,2,50140,50150,45208,15030
